Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
Iraq,84.83,74.63,79.44,41.77,73.29,55.06,55.97,45.08,53.034,48.2,28.33,37.79,22.8,185,49.6,32,47.9,75.16,70.13,85.61,0.38,100,4.323421053,1.93,7.9,5,5,5,20.2,79.72,92.31,53.46,0.75,93.83,17.22,54.35,18.27,722.5,8.33,111.29,9.69,34.64,554.02,12,5,0.588857143,34.3,0.65,2,0.19,60,17,0.52,0.1,9.8,1,0.72,0.63,7.88,0.31,2,0.063272727,185,79.72,53.46,0.25,93.83,554.02,2,3,Upper middle income
Ireland,99.23,95.34,87.82,89.72,98.85,89.98,80.49,82.11,93.09,83.71,86.21,80.42,5,8,7.7,3.6,28.84,97.88,97.84,90.48,0.5,100,6.46,0,1.1,2,2,1,4.1,97.36388889,99.3,127.2,1.02,103.71,80.12,12.4,24.14,224.1,9.84,19.26,51.11,90.51,290.56,39,16,0.785789474,90,0.86,4,0,79.5,73,0.85,0.82,1.6,3,0.96,1.68,14.53,0.05,15,0.55,8,97.19527778,100,0.02,100,290.56,5,5,High income
Isle of Man,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,95.8484,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,17.06329114,0.23987013,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,2.987341772,2.666666667,High income
Israel,99.27,100,83.23,81.28,99.06,81.56,84.04,83.74,77.8,71.68,32.56,73.06,5,8,5.24,4,24.88,100,100,100,0.32,100,6.21,0,1.7,2,3,2,3.6,97.36388889,99.91,101.86,1.02,133.47,77.35,32.58,25.03,205.7,7.33,22.19,94.27,71.29,388.92,36,12,0.785789474,75,0.75,2,0.03,68.5,64,0.31,0.31,9.8,1,0.87,1.31,15.68,0.1,12,0.29,8,97.19527778,100,0.02,100,388.92,5,4,High income
Italy,99.5,99.84,84.94,72.1,98.99,79.81,84.81,89.58,79.67,66.14,63.66,72.38,5,8,3.69,3.5,11.4,99.95,100,99.55,0.49,100,5.87,0,0.8,3,4,2,6.1,99.02,99.54,102.62,0.98,142.12,65.57,28.93,25.08,210.7,5.81,22.18,81.17,98.96,223.28,36,15,0.82,50,0.61,4,0,66,47,0.63,0.62,5,2,0.92,0.45,14.28,0.11,59,0.77,8,99,100,0.02,100,223.28,9,6,High income
Jamaica,94.34,81.44,76.05,49.37,88.05,79.85,75.79,70.7,73.95,73.25,64.94,41.32,8.1,58,88.57,15.7,47.89,71.52,89.43,81.78,0.44,92.63,4.71,10.68,36.1,5,4,3,11.5,88.5,94.47297872,82.11,1.07,111.51,42.22,12.45,22.4,398,3.36,32.42,5.5,90.47,382.78,34,15,0.75,40,0.81,4,0.01,82.9,39,0.72,0.14,3.6,4,0.86,0.56,12.81,0.06,0,0,58,88.5,82.11,0.07,100,382.78,0,0,Upper middle income
Japan,99.19,99.58,93.25,91.66,99.86,86.7,79.89,83.82,85.66,78.6,62.11,76.95,5,8,5.43,2.7,41.55,98.45,100,100,0.76,100,6.55,0,0.3,1,2,1.5,4.7,97.36388889,99.95,101.75,1,126.54,91.06,28.67,26.13,188.9,19.22,16.83,56.53,93.25,301.27,40,15,0.74,80,0.78,4,0.01,70.4,72,0.49,0.27,3.9,4,0.89,1.37,15.51,0.2,90,0.24,8,97.19527778,100,0,100,301.27,9,4,High income
Jordan,97.2,93.5,81.38,69.43,92.68,70.64,73.29,61.8,44.56,64.17,40.28,49.25,5,13,57.7,17.9,24.27,91,92.27,98.63,0.39,99.5,5.51,0.03,2.3,2,3,3,26.3,98.01,96.76,82.45,1.06,179.43,53.4,44.49,19.16,292.2,3.08,42.78,18.6,42.94,382.75,12,7,0.44,60,0.75,2,0.07,60.6,48,0.51,0.241081081,7.7,2,0.82,0.42,12.39,0.17,3,0.26,13,98.01,82.45,0.06,100,382.75,2,4,Upper middle income
Kazakhstan,97.86,81.98,76.29,68.79,98.98,71.46,44.18,51.77,27.97,61.83,49.12,61.87,5,18,11.95,14.1,32.21,61.37,85.58,97.54,0.46,100,4.55,22.76,7.4,2,3,3,24.2,99.79,99.83,112.01,1.03,156.88,70.83,54.55,17.49,657.8,30.52,74.94,15.6,53.45,805.55,5,4,0.39,30,0.74,1,0.05,75.6,29,0.42,0.08,7.3,4,0.92,0.86,13.93,0.06,10,0.13,18,99,100,0.03,100,805.55,4,3,Upper middle income
Kenya,74.35,35.97,48.83,51.43,79.49,66.82,62.67,66.13,52.59,60.82,37.2,37.7,21.2,135,509.52,49.4,488.74,21.69,56.84,30.11,0.56,23,3.9,106.21,5.9,4,4,4,29.1,78.02,86.21,67.64,0.93,80.68,45.62,31.16,16.91,359.3,11.37,36.95,3.2,84.09,524.2,22,10,0.59,30,0.75,3,0.13,76.8,26,0.65,0.14,9.1,2,0.71,0.28,9.14,0.26,1,0.44,135,78.02,67.64,0.07,80.68,524.2,1,4,Lower middle income
Kiribati,90.72,39.67,60.13487179,63.07775,81.6875,61.50731707,38.2,55.00775,49.67641026,56.89425,43.62184211,27.78487805,5,22,89.79,55.9,217.97,34.67,50.59,39.75,0.506756757,59.33,3.682,63.73,7.5,3.182926829,3.414634146,3.036585366,2.9,80.91642857,96.88,87.14,1.1,38.84,13,39.62595238,16.86,1018.1,19.9,7.4,3.548205128,87.32,448.45,37,15,0.574285714,30,0.721794872,4,0.158717949,42.7,33.8372093,0.528461538,0.161621622,7.06744186,4,0.75974359,0.339375,10.01,0.21,0,0,22,80.83880952,87.14,0.1,38.84,448.45,0,0,Lower middle income
"Korea, Dem. People's Rep.",74.45,90.87,35.4775,62.12,96.66,10.72,54.14,50.31466667,44.1837931,46.10566667,43.18428571,12.05137931,41.6,343,82.46,24.9,39.51,88.94,99.4,81.91,0.43,29.56,2.444782609,98.85,4.7,2,4,5,10.7,100,96.45,93.4,1.01,12.88,0,83.76,16.98,587.5,14.72,84.96,0,69.881875,1167.355667,0,0,0.593333333,5,0.653793103,3.3125,0,77.9,12,0.61,0.109615385,6,3.25,0.664482759,0.089090909,11.57,0.376,0,0,343,99,93.4,0.01,12.88,809.3306667,0,0,Low income
"Korea, Rep.",99.22,92.44,88.16,87.13,97.25,86.36,72.44,79.78,72.43,70.04,63.28,76.4,5,4,11.01,3.4,27.93,92.93,87.95,100,0.58,100,6.17,0,0.7,1,2,2,12,97.97,96.46,97.73,0.99,118.46,89.65,28.58,24.99,211.8,27.75,27.37,82.42,69.34,434.63,32,13,0.63,70,0.56,4,0,81.7,53,0.56,0.31,3.1,4,0.8,1.94,14.62,0.26,42,0.16,8,97.97,97.73,0.01,100,434.63,8,3,High income
Kosovo,84.93428571,58.44717391,60.13487179,63.07775,81.6875,61.50731707,57.41934783,55.00775,49.67641026,56.89425,43.62184211,27.78487805,13.66428571,94.23809524,209.406087,45.66086957,219.9867391,40.44543478,74.85152174,57.83108696,0.84,100,3.682,88.50304348,2.2,3,3,2,19.01086957,80.91642857,90.90444444,69.95651163,0.985581395,93.44065217,28.75434783,30.5,17.94777778,568.2869565,13.01369565,76.4626087,3.548205128,68.92863636,617,24,9,0.574285714,30,0.78,3,0.158717949,61.26666667,36,0.46,0.04,7.06744186,2,0.81,0.339375,8.443043478,0.266222222,0,0,94.35714286,80.83880952,69.87093023,0.095348837,83.26956522,612.0821429,0,0,Lower middle income
Kuwait,98.25,97.61,80.26,84.48,92.04,82.82,72.8,67.27,40.33,66.12,56.95,50.46,5,21,4.12,8.6,41.02,93.96650794,99,100,0.35,97.7,5.53,0.09,1.8,1,2,2,18.7,96.12,99.47,94.97,1.16,231.76,82.08,32.59,17.87,237.9,2.73,54.56,43.1,87.12,756.42,13,6,0.785789474,45,0.84,2,0.05,63.5,41,0.7,0.574888889,5.2,3,0.84,0.22,12.51,0.066976744,1,0.52,21,96.12,94.97,0.16,100,756.42,1,5,High income
Kyrgyz Republic,95.22,80.04,69.36,66.77,97.64,69.92,55.32,51.98,48.6,60.59,44.73,43.81,6,40,75.51,21.3,46.68,58.19,86.22,93.28,0.57,100,3.24,56.26,3.7,3,3,3,22,99.5,99.53,90.78,1.01,132.8,30.25,30.16,17.92,613.6,14.21,81.92,4.2,79.8,934.9,13,9,0.72,20,0.78,2,0.08,66.3,28,0.54,0.06,8.6,3,0.91,0.63,13.79,0.05,0,0,40,99,90.78,0.01,100,934.9,0,0,Lower middle income
Lao PDR,81.64,56.83,59.31,76,81.59,34.4,53.65,60.53,19.78,58.13,51.04,17.19,18.5,128,197.4,66.7,160.25,28.37,69.38,70.89,0.44,70,4.71,122.82,7.3,2,3,2,14.3,79.87,92.71,61.7,0.93,53.1,18.2,71.58,16.81,565.4,16.21,91.15,0,90.23,373.5,1,4,0.574285714,15,0.87,1,0.2,67.1,30,0.63,0.41,6.6,3,0.69,0.22,6.11,0.34,0,0,128,79.87,61.7,0.07,53.1,373.5,0,0,Lower middle income
Latvia,98.83,93.22,80.07,84.08,98.52,87.84,60.38,85.89,78.48,69.96,44.5,61.55,5,8,18.29,7.9,18.73,92.49,98.3,87.79,0.39,100,5.36,8.07,3.9,1,3,1.5,10,99.89,98.57,115.36,0.98,127.5,79.2,17.38,20.13,474.1,19.7,52.26,94.23,97.81,284.23,36,15,0.785789474,50,0.63,3,0.01,74.9,57,0.22,0.2,7.7,4,0.89,0.78,14.44,0.03,2,0.27,8,99,100,0.02,100,284.23,2,4,High income
Lebanon,98.22,87.06,63.48,55,83.74,78.14,72.06,68.67,50.22,58.29,34.06,46.83,5,29,14.93,8.3,12.5,77.12,98.95,80.67,0.33,100,1.67,0.01,4.3,3.5,5,3,22.6,94.05,84.71,61.21,0.99,92.16,74,31.95,18.89,320.4,2.92,45.01,54.7,43.86,330.77,14,11,0.66,20,0.65,3,0.03,60.6,28,0.48,0.12,8.7,1,0.82,0.491081081,11.39,0.24,4,0.1,29,94.05,61.21,0.01,92.16,330.77,3,3,Upper middle income
Lesotho,67.66,45.6,34.22,59.02,65.33,66.66,29.03,43.83,60.18,63.8,60.98,24.54,11.2,76,487.17,90.2,1170.23,22.27,76.96,30.27,0.43,20.56,3.35,195.53,38,3,3,2,28.2,79.36,83.58,53.77,1.36,100.94,16.07,28.78,15.77,1037.7,31.86,110.98,0.3,26.17,423.07,27,12,0.574285714,30,0.72,4,0.15,76.1,39,0.66,0.2,4.1,4,0.79,0.06,10.24,0.24,0,0,76,79.36,53.77,0.36,100,423.07,0,0,Lower middle income
Liberia,62.53,29.17,30.97,61.75,62.06,56.55,59.29,60.01,61.87,53.1,45.37,9.42,31.9,256,724.51,69.9,500.32,2.42,62.61,16.89,0.32,9.8,2.82,159.06,3.2,3,4,2,33.7,47.6,89.89,37.3,0.78,81.09,5.9,30.71,15.65,430.7,9.54,28.61,0,49.67,523.13,28,11,0.76,25,0.74,4,0.2,38.7,37,0.56,0.03,6,4,0.64,0.16,4.37,0.46,0,0,256,47.6,37.3,0.22,81.09,523.13,0,0,Low income
Libya,94.30555556,83.56358491,68.75,26.39,91.47,56.37,68.14,42.45,19.87,53.97,45.5,24.17,7.922222222,45.17777778,9.33,13.4,40.76,77.25259259,89.33358491,96.56,0.35,100,2.85,2.1,2.5,5,5,4.5,73.4,91.39,94.47297872,101.56,1.18,157,19.02,57.89,18.39,382.9,5.03,79.61,9.6,24.72,921.35,3,4,0.588857143,10,0.82,2,0.03,43.1,14,0.7,0.241081081,8.3,2,0.88,0.83,6.27,0.162926829,0,0,45.35555556,91.39,100,0.18,100,921.35,0,0,Upper middle income
Liechtenstein,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,92.12,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,100,6.023333333,1.558852459,2.7,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,99.97,116.12,0.78,109.31,96.64,18.36,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33,16,0.785789474,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,100,0.22,100,390.9864815,0,0,High income
Lithuania,99.17,91.17,80.59,79.64,98.4,84.77,52.75,78,86.03,68.42,52.52,65.56,5,8,9.91,5.2,19.68,93.12,90.38,92.4,0.37,100,5.58,7.13,5.5,2,3,1.5,10.6,99.82,99.65,106.82,0.96,139.52,71.38,19.95,19.4,443.1,32.75,49.12,46.82,98.55,305.91,38,16,0.785789474,65,0.55,4,0,69.6,59,0.29,0.16,4.6,4,0.87,1.05,14.17,0.06,4,0.3,8,99,100,0.04,100,305.91,3,4,High income
Luxembourg,99.51,99.22,89.14,84.57826087,97.67,93.8,81.63,92.63,92.41,86.28,84.26,68.99,5,8,9.7,1.9,16.24,100,100,97.6,0.54,100,6.6,0,0.7,1.670212766,2.553191489,1.489361702,8.7,97.36388889,96.8,102.26,1.02,148.51,97.33,14.43,24.31,213.7,8.89,20.08,96.84,100,235.99,38,16,0.785789474,90,0.87,4,0.01,75.61730769,81,0.83,0.78,3.1,4,0.94,1.05,14.08,0.06,2,0.86,8,97.19527778,100,0.02,100,235.99,2,6,High income
"Macao SAR, China",98.78702128,96.4240625,85.8374,84.57826087,96.51,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,90.54,6.023333333,1.558852459,1,1.670212766,2.553191489,1.489361702,8.170344828,96.23,96.32,96.48,0.99,324.44,77.6,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,60,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.67,13.71163636,0.066976744,1,0.29,11.61818182,96.23,96.48,0.01,100,390.9864815,1,4,High income
"Macedonia, FYR",99.28,94.35,78.84,75.48,88.72,77.94,66.88,59.73,58.11,52.14,41.13,39.6,5,8,7.55,5.5,10.55,91.92,98.88,90.91,0.54,100,4.91,30.01,1.6,3,3,2,9.4,97.84,88.26,78.58,0.96,98.78,70.38,36.09,19.11,421.8,7.53,64.35,4.45,72.3,517.75,21,10,0.74,35,0.66,3,0.07,29.6,37,0.35,0.05,7.1,3,0.84,0.491081081,12.74,0.11,0,0,8,97.84,78.58,0.04,98.78,517.75,0,0,Upper middle income
Madagascar,71.78,16.03,28.89,65.36,71.41,44.44,53.12,50,57.64,40.95,53.08,16.12,33,229,352.86,49.6,316.35,7.03,35.25,12,0.57,15.4,1.94,201.62,0.6,3,3,3,28.4,64.66,81.43034483,38.43,0.98,44.12,4.17,27.04,17,674.6,11.93,75.63,0,64.68,884.35,24,10,0.61,45,0.56,3,0.4,58.2,26,0.56,0.04,4.3,4,0.75,0.089090909,6.46,0.35,0,0,229,64.66,38.43,0.02,44.12,884.35,0,0,Low income
Malawi,70.37,50.87,33.69,64.57,75.96,43.22,57.09,58.92,67.99,58.96,41.1,14.31,20.7,139,634.12,64,581.62,7.93,89.11,41,0.46,9.8,2.27,135.54,1.8,3,3,2.5,35,65.96,98.1,43.4,0.9,37.94,9.3,28.12,15.4,446.7,11.85,56.02,0,93.35,880.18,26,13,0.79,40,0.81,4,0.26,70.9,31,0.47,0.02,5.1,4,0.52,0.01,4.98,0.3,0,0,139,65.96,43.4,0.1,37.94,880.18,0,0,Low income
Malaysia,97.24,94.46,87.13,71.3,90.64,74.56,68.04,69.13,43.57,58.72,41.97,56.88,5,14,39.81,7,119.43,96.41,92.99,96.01,0.61,100,5.82,1.08,1.9,3,2,3,24,94.64,98.09,77.57,1.08,143.89,71.06,46.57,19.5,380.3,8.92,51.71,19.59,90.85,449.54,18,7,0.35,55,0.66,1,0.06,51.4,49,0.41,0.21,6.7,2,0.81,0.6,11.93,0.162926829,14,0.26,14,94.64,77.57,0.08,100,449.54,5,4,Upper middle income
Maldives,97.05,83.63,74.66829268,64.90926829,91.84930233,74.85,75.15,63.09666667,53.034,60.9365,49.3155,14.88,5.2,34,67.68,8.6,34.64,45.67,97.92,97.94,0.441219512,100,4.323421053,5.74,0.9,3.05952381,3.476190476,2.80952381,3.5,99.32,99.27,90.56428571,1.036938776,206.66,54.46,34.17,21.37,184.2,12.66,37.36,15.71978261,35.92,322.19,17,5,0.588857143,25,0.7255,1,0.106,52.3,36,0.54195122,0.241081081,4.8,2,0.82195122,0.04,7.6,0.4,0,0,34,99,88.7244898,0.065102041,100,322.19,0,0,Upper middle income
Mali,76.4,36.02,41.76,61.89,47.05,60.93,59.35,47.68,52.08,35.51,48.43,5.94,5,23,587.08,114.7,448.5,15.88,64.06,24.67,0.54,25.6,2.83,131.54,10.2,3,3,3.5,25.6,33.07,60.8,41.31,0.81,139.61,10.34,39.83,15.94,484.5,7.48,72.12,0,73.03,1179.84,17,12,0.593333333,25,0.68,4,0.53,29.9,32,0.86,0.06,7.9,2,0.83,0.06,1.56,0.42,0,0,23,33.07,41.31,0.19,100,1179.84,0,0,Low income
Malta,99.07,100,82.51,84.57826087,92.14,84.58,84.33,85.58,87.99,73.92,78.46,39.52,5,8,8.78,6.4,20.33,100,100,100,0.61,100,4.77,0,1.4,1.670212766,2.553191489,1.489361702,5.1,94.07,98.69,85.78,0.91,129.3,76.18,23.84,24.22,212.7,3.82,23.49,68.49,93.98,261.9,39,16,0.785789474,70,0.91,4,0.034081633,71.6,55,0.67,0.82,3.9,4,0.92,0.6,11.59,0.07,0,0,8,94.07,85.78,0.09,100,261.9,0,0,High income
Marshall Islands,94.30555556,65.09,74.66829268,64.90926829,82.23,69.16829787,48.23,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,36,95.18,2.89,97.65,76.86,0.441219512,59.33,4.323421053,31.25,4.7,3.05952381,3.476190476,2.80952381,5.7,98.27,79.78,76.61,1.1,29.25,19.28,38.39583333,18.36,856.5,15.35,49.1,0,71.5248,583.6268627,37,16,0.588857143,34.3,0.7255,4,0.106,64.16078431,38.75510204,0.54195122,0.241081081,6.579166667,4,0.82195122,0.491081081,10.77,0.162926829,0,0,45.35555556,98.27,76.61,0.1,29.25,533.1368627,0,0,Upper middle income
Mauritania,80.96,42.25,35.96,60.91,62.84,64.47,64.25,41.27,39.56,33.83,44.5,10.44,5.6,36,601.59,84.7,228.96,32.63,57.1,40.01,0.2,21.76,2.39,94.31,11.4,3,4,2.5,24.5,52.12,79.9,30.6,0.93,89.32,15.2,24.03,16.49,356,7.36,92.77,0,42.92,990.97,9,9,0.574285714,25,0.43,2,0.28,29.8,27,0.47,0.02,7.2,4,0.77,0.07,4.44,0.41,0,0,36,52.12,30.6,0.07,89.32,990.97,0,0,Lower middle income
Mauritius,96.72,97.66,78.76,82.73,94.89,76.16,67.95,64.66,81.72,64.8,65.81,30.25,5,35,53.36,13.5,41.78,99.85,99.82,93.15,0.29,100,5.41,3.18,2.7,2,2,2,12.2,90.62,98.93,95.7,1.05,140.58,50.14,27.69,20.55,446.8,8.92,36.34,4.2,55.45,264.02,37,15,0.588857143,60,0.81,4,0.1,44.8,54,0.73,0.26,3.8,4,0.82,0.17,10.36,0.13,0,0,35,90.62,95.7,0.05,100,264.02,0,0,Upper middle income
Mexico,97.17,89.44,79.38,50.9,93.58,64.93,77.59,74.53,65.87,60.31,52.92,56.54,5,29,37.85,13.2,39.48,92.33,92.14,85.16,0.48,99.1,4.89,10.13,15.7,5,4,4,12.3,94.55,97.71,90.55,1.07,85.99,57.43,49.33,22.38,284.4,6.17,32.18,39.72,78.66,367.1,28,13,0.62,50,0.73,2,0.17,83.2,30,0.51,0.51,6.7,2,0.88,0.7,10.77,0.2,17,0.23,29,94.55,90.55,0.07,85.99,367.1,6,4,Upper middle income
"Micronesia, Fed. Sts.",84.93428571,63.18,60.13487179,63.07775,81.6875,61.50731707,48.21,55.00775,49.67641026,56.89425,43.62184211,27.78487805,13.66428571,94.23809524,99.57,34.7,85.46,37.21,87.37,57.08,0.506756757,59.33,3.682,46.71,4.8,3.182926829,3.414634146,3.036585366,1.9,80.91642857,84,69.95651163,0.985581395,21.54,31.5,39.62595238,17.3,788.6,15.63,35.85,3.548205128,68.92863636,617,37,16,0.574285714,30,0.721794872,4,0.158717949,61.26666667,33.8372093,0.528461538,0.161621622,4,4,0.75974359,0.339375,12.56,0.266222222,0,0,94.35714286,80.83880952,69.87093023,0.095348837,21.54,612.0821429,0,0,Lower middle income
Moldova,97.96,71.17,72.27,75.89,93.07,75.65,59.99,53.36,64.77,52.11,37.3,42.14,5,8,22.91,15.8,26.68,53.93,81.38,76.43,0.25,100,4.3,12.14,3.2,2,3,2.5,12.5,99.24,91.58,86.11,1.01,108.04,49.84,28.83,17.97,462.1,14.08,64.11,14,53.23,792.99,27,12,0.72,40,0.51,3,0.11,62,30,0.4,0.04,7,2,0.8,0.56,13.8,0.07,0,0,8,99,86.11,0.01,100,792.99,0,0,Lower middle income
Monaco,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,3.5,32.42934426,100,97.95269841,100,0.5088,100,6.023333333,1.558852459,0,1.670212766,2.553191489,1.489361702,0,97.36388889,96.93701754,106.1520968,1.007868852,88.78,93.36,23.46236364,25.42,281.2,11.40114754,28.9457377,100,85.33777778,390.9864815,27,16,0.785789474,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,96.92709677,0.047868852,88.78,390.9864815,0,0,High income
Mongolia,87.5,47.37,60.62,72.7,96.13,68.54,36.68,43.87,70.18,65.09,51.41,43.92,20.5,156,43.95,22.4,39.81,24.35,59.21,59.72,0.27,89.76,3.84,84.93,7.5,3,2,2.5,21,98.37,97.31,91.46,1.02,104.96,21.44,27.61,17.11,820.6,34.04,90,3.3,83.56,1417.03,36,14,0.71,30,0.71,3,0.04,71.1,38,0.3,0.06,4,3,0.95,0.96,12.06,0.09,0,0,156,98.37,91.46,0.02,100,1417.03,0,0,Lower middle income
Montenegro,99.38,94,67.97,74.17,95.52,79.02,66.12,63.12,62.05,49.96,46.38,42.49,5,8,7.16,4.7,9.02,84.2,99.17,95.91,0.25,100,4.01,41.1,3.2,3,3,2,11.9,98.72,94.64,90.34,1,162.16,68.12,32.79,19.8,423.6,11.01,51.75,6.7,67.72,393.47,26,12,0.588857143,40,0.55,4,0.106,37.1,45,0.56,0.08,7.6,3,0.86,0.491081081,13.05,0.07,0,0,8,98.72,90.34,0,100,393.47,0,0,Upper middle income
Morocco,94.54,66.43,80.84,67.92,81.66,72.33,68.44,70.34,45.36,64.54,43.3,27.27,5,31,121.32,27.6,57.24,63.85,65.31,76.71,0.44,100,5.28,5.35,1,3,3,3,20.8,71.71,99.68,69.06,0.85,126.87,57.08,42.64,19.43,380.3,7.97,41.59,5.4,91.1,318.76,15,7,0.55,40,0.79,2,0.11,76.8,37,0.57,0.07,7.4,4,0.65,0.37,4.84,0.46,3,0.25,31,71.71,69.06,0.15,100,318.76,2,4,Lower middle income
Mozambique,66.89,20.06,36.49,58.67,68.76,55.13,52.41,56.49,53.05,42.08,54.47,10.27,25.3,181,489.11,78.5,685.02,8.65,37.04,20.5,0.44,20.2,2.81,150.77,3.6,3,4,3,31.6,58.84,89.13,32.43,0.92,74.24,9,30.25,16.63,595.9,16.25,56.62,0,88.43,967.73,20,11,0.593333333,30,0.78,4,0.45,37.8,27,0.67,0.27,5.6,4,0.66,0.02,2.99,0.34,0,0,181,58.84,32.43,0.08,74.24,967.73,0,0,Low income
Myanmar,85.39,56.5,57.16,65.88,85.42,54.55,59.29,45.86,31.21,64.8,35.91,26.35,14.2,103,178.5,50,168.02,8.16,74.4,79.55,0.82,52.36,2.72,91.98,2.5,2.5,3,4,20.3,93.09,94.53,51.3,1.03,75.68,21.8,42.08,16.75,583.6,4.91,93.7,0,57.74,617,14,7,0.34,10,0.87,2,0.07,71.7,28,0.44,0.29,9.9,2,0.79,0.34,7.74,0.19,0,0,103,93.09,51.3,0.03,75.68,612.0821429,0,0,Lower middle income
Namibia,65.3,58.23,57.75,66.24,81.22,73.51,60.38,62.36,66.93,74.96,54.16,22.67,42.3,325,264.74,45.4,489.15,50.67,84.65,34.39,0.38,47.26,5.54,109.61,16.9,3,3,2,23.9,90.82,91.23,64.84,1.16,106.58,22.31,15.15,17.38,395.9,15.03,60.83,6.25,95.74,708.78,30,14,0.588857143,30,0.85,4,0.05,76.6,52,0.59,0.23,6,4,0.76,0.06,9.79,0.28,0,0,325,90.82,64.84,0.16,100,708.78,0,0,Upper middle income
Nauru,94.30555556,83.56358491,74.66829268,64.90926829,91.84930233,69.16829787,65.31884615,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,20.63773585,93.5,68.44,89.33358491,65.6,0.441219512,91.47685185,4.323421053,22.67207547,1.3,3.05952381,3.476190476,2.80952381,17.95882353,94.1487234,88.09,82.64,1.02,67.78,54,38.39583333,23.21,451.4403846,10.78226415,51.1509434,15.71978261,71.5248,583.6268627,35,13,0.588857143,34.3,0.7255,4,0.106,64.16078431,38.75510204,0.54195122,0.241081081,6.579166667,4,0.82195122,0.491081081,11.14692308,0.162926829,0,0,45.35555556,94.02212766,82.64,0.02,67.78,533.1368627,0,0,Upper middle income
